Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Earliest language in life,English speaking monolingual,Bilingual,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65a09e583ac2f375865f64db,6022fec1801f3612a0276d01,APPROVED,2024-01-12T02:05:19.278000Z,2024-01-12T02:08:12.797000Z,2024-01-12T13:15:01.113000Z,2024-01-12T02:08:13.533214Z,174.0,C72EX8CS,1152,English,English,I only know English,none just my native langauge,30,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65a09e987b9063ef914136f4,5909955b9e26f200016e1247,APPROVED,2024-01-12T02:06:22.545000Z,2024-01-12T02:09:29.588000Z,2024-01-12T13:15:01.286000Z,2024-01-12T02:09:30.051320Z,188.0,C72EX8CS,3361,English,English,I only know English,none just my native langauge,62,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65a09eb5214275fb72e5d815,5e87206614560f0118569c49,APPROVED,2024-01-12T02:06:50.071000Z,2024-01-12T02:10:45.373000Z,2024-01-12T13:15:01.457000Z,2024-01-12T02:10:45.790150Z,236.0,C72EX8CS,4523,English,English,I only know English,none just my native langauge,51,Female,White,United States,United States,United States,English,No,Full-Time
65a09f043cf0fef29ad2beff,60fe2255ec4625f1c70e8581,APPROVED,2024-01-12T02:08:09.596000Z,2024-01-12T02:10:20.220000Z,2024-01-12T13:15:01.631000Z,2024-01-12T02:10:20.761526Z,131.0,C72EX8CS,2763,English,English,I only know English,none just my native langauge,29,Female,White,United States,United States,United States,English,No,Full-Time
65a09f0c591c52695cdbfd33,6459b8128544c7f22edba161,APPROVED,2024-01-12T02:08:17.316000Z,2024-01-12T02:11:10.092000Z,2024-01-12T13:15:01.824000Z,2024-01-12T02:11:10.708643Z,173.0,C72EX8CS,1297,English,English,I only know English,none just my native langauge,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65a09f1af51e8f6fd7a758e9,6362bf83962869b37bcf9909,RETURNED,2024-01-12T02:08:47.819000Z,,,2024-01-12T05:30:39.213379Z,,,682,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65a09f1f591c52695cdbfd3a,6400e1e1c539ed3882af8d8f,APPROVED,2024-01-12T02:08:41.535000Z,2024-01-12T02:11:25.844000Z,2024-01-12T13:15:02.038000Z,2024-01-12T02:11:26.360503Z,165.0,C72EX8CS,423,English,English,I only know English,none just my native langauge,DATA_EXPIRED,Female,White,United States,United States,United States,English,No,Full-Time
65a09f42987bd492454d5d87,6366f1041b14b17f78f98593,APPROVED,2024-01-12T02:09:11.704000Z,2024-01-12T02:11:17.013000Z,2024-01-12T13:15:02.252000Z,2024-01-12T02:11:17.458339Z,126.0,C72EX8CS,153,English,English,I only know English,none just my native langauge,24,Female,Mixed,United States,United States,United States,English,Yes,Other
65a09f52987bd492454d5d88,59f232c71f4f55000108a0d6,APPROVED,2024-01-12T02:09:26.514000Z,2024-01-12T02:11:47.672000Z,2024-01-12T13:15:02.465000Z,2024-01-12T02:11:48.206307Z,142.0,C72EX8CS,3031,English,English,I only know English,none just my native langauge,54,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65a09f72fbe002ebe6cda5da,6508c6caa5e79cf29fcc1f11,APPROVED,2024-01-12T02:09:58.429000Z,2024-01-12T02:12:38.900000Z,2024-01-12T13:15:02.662000Z,2024-01-12T02:12:39.370724Z,161.0,C72EX8CS,3,English,English,I only know English,none just my native langauge,22,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65a09f8897cef2e56e60015e,5d7c4978e34654001a80f1ba,APPROVED,2024-01-12T02:10:28.245000Z,2024-01-12T02:13:11.472000Z,2024-01-12T13:15:02.867000Z,2024-01-12T02:13:12.022639Z,164.0,C72EX8CS,3188,English,English,I only know English,none just my native langauge,35,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65a09f929066460e8374a583,61283d412a2a16a077063e9d,APPROVED,2024-01-12T02:10:30.724000Z,2024-01-12T02:12:48.410000Z,2024-01-12T13:15:03.066000Z,2024-01-12T02:12:48.836800Z,138.0,C72EX8CS,844,English,English,I only know English,none just my native langauge,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65a09f944720b6d4848fe9b4,5c43fb651ddd660001c9de3a,APPROVED,2024-01-12T02:10:48.728000Z,2024-01-12T02:13:19.291000Z,2024-01-12T13:15:03.273000Z,2024-01-12T02:13:19.765969Z,151.0,C72EX8CS,1134,English,English,I only know English,none just my native langauge,27,Female,White,United States,United States,United States,English,No,Other
65a0a0acf7837fc70b953aa4,5eb99d8f4b9ed20b03e028b8,APPROVED,2024-01-12T02:15:15.692000Z,2024-01-12T02:18:16.481000Z,2024-01-12T13:15:03.473000Z,2024-01-12T02:18:17.337212Z,181.0,C72EX8CS,1435,English,English,I only know English,none just my native langauge,67,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65a137f4325a435a04cebf63,5fb4838f3efce01cc28e7f1b,RETURNED,2024-01-12T13:10:36.316000Z,,,2024-01-12T17:46:18.923367Z,,,1316,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65a1383a57bd1a2521cebf92,5ea89a8b6b6ee52ee578a90a,APPROVED,2024-01-12T13:02:06.111000Z,2024-01-12T13:05:40.149000Z,2024-01-12T13:14:26.429000Z,2024-01-12T13:05:41.431136Z,215.0,C72EX8CS,1939,English,English,I only know English,none just my native langauge,48,Male,White,United States,United States,United States,English,No,Full-Time
