Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Earliest language in life,English speaking monolingual,Bilingual,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65a0ad3897cef2e56e600384,5e1e5c3c80e02e1c36679187,APPROVED,2024-01-12T03:08:40.610000Z,2024-01-12T03:12:58.950000Z,2024-01-12T13:15:12.007000Z,2024-01-12T03:12:59.433513Z,259.0,C72EX8CS,1966,English,English,I only know English,none just my native langauge,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
65a0ad3f214275fb72e5d9b2,57e435221334540001170d65,APPROVED,2024-01-12T03:11:58.880000Z,2024-01-12T03:14:16.614000Z,2024-01-12T13:15:12.190000Z,2024-01-12T03:14:17.034035Z,138.0,C72EX8CS,1731,English,English,I only know English,none just my native langauge,69,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65a0ad577981ab69f5c34678,5d96203c02814f00178bd14c,APPROVED,2024-01-12T03:09:14.180000Z,2024-01-12T03:11:47.862000Z,2024-01-12T13:15:12.370000Z,2024-01-12T03:11:48.290080Z,154.0,C72EX8CS,490,English,English,I only know English,none just my native langauge,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65a0ada0591c52695cdbfef0,5755c957eb80c4000741a9ce,APPROVED,2024-01-12T03:10:24.052000Z,2024-01-12T03:12:52.641000Z,2024-01-12T13:15:12.566000Z,2024-01-12T03:12:53.091619Z,149.0,C72EX8CS,3336,English,English,I only know English,none just my native langauge,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65a0adaccb1340048e211d07,5766fef29dcd970001dbdce7,APPROVED,2024-01-12T03:10:41.411000Z,2024-01-12T03:13:05.926000Z,2024-01-12T13:15:12.753000Z,2024-01-12T03:13:06.930045Z,145.0,C72EX8CS,367,English,English,I only know English,none just my native langauge,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
65a0adc4158e1166c55f6350,6580b58cb6e6097a0fd9bcfc,APPROVED,2024-01-12T03:11:07.077000Z,2024-01-12T03:19:18.445000Z,2024-01-12T13:15:12.939000Z,2024-01-12T03:19:18.895998Z,492.0,C72EX8CS,24,English,English,I only know English,none just my native langauge,33,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
65a0ae1c1a16a3bf7b8dba97,55848744fdf99b574f55ada0,APPROVED,2024-01-12T03:12:28.491000Z,2024-01-12T03:15:20.567000Z,2024-01-12T13:15:13.128000Z,2024-01-12T03:15:20.974218Z,173.0,C72EX8CS,3239,English,English,I only know English,none just my native langauge,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65a0ae2d214275fb72e5d9d1,6573451f5972cc7e8ba92049,APPROVED,2024-01-12T03:12:45.689000Z,2024-01-12T03:15:44.011000Z,2024-01-12T13:15:13.358000Z,2024-01-12T03:15:44.489011Z,179.0,C72EX8CS,51,English,English,I only know English,none just my native langauge,21,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65a0ae4230a5ced3f5c467ad,5ca183e45a47af00013463ab,APPROVED,2024-01-12T03:13:06.270000Z,2024-01-12T03:16:26.987000Z,2024-01-12T13:15:13.529000Z,2024-01-12T03:16:27.355215Z,201.0,NOCODE,2316,English,English,I only know English,none just my native langauge,71,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65a0ae7a2bb7751b509067dd,5ff85cb8d2ca6f03514e637a,RETURNED,2024-01-12T03:14:07.848000Z,,,2024-01-12T05:31:18.537205Z,,,903,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65a0ae7dba9f28bc37c462f0,5f31af089c42ef0ba3d6b150,APPROVED,2024-01-12T03:14:11.281000Z,2024-01-12T03:17:02.613000Z,2024-01-12T13:15:13.696000Z,2024-01-12T03:17:03.081205Z,172.0,C72EX8CS,997,English,English,I only know English,none just my native langauge,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65a0ae97b70cd6898be5dca1,62cca84756bb6c2f41eb7d3c,APPROVED,2024-01-12T03:14:35.857000Z,2024-01-12T03:16:29.104000Z,2024-01-12T13:15:13.874000Z,2024-01-12T03:16:29.515809Z,114.0,C72EX8CS,545,English,English,I only know English,none just my native langauge,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65a0aeaa1ffc042b4f547688,607e3ae71ddd6bca3838b699,TIMED-OUT,2024-01-12T03:14:55.084000Z,,,2024-01-12T05:31:18.538222Z,8184.0,,506,English,English,I only know English,none just my native langauge,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65a0aed0afefad5d38f386e7,6425ffdf7fd742839b924ac5,RETURNED,2024-01-12T03:25:28.007000Z,,,2024-01-12T05:31:18.552231Z,,,653,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65a0af3f03787e97c70f93e0,64162dfe54125a150e326f8a,RETURNED,2024-01-12T03:17:25.977000Z,,,2024-01-12T05:31:18.543031Z,,,219,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65a0af7bafefad5d38f386fa,5c86f9ced810a700169ddfe7,APPROVED,2024-01-12T03:18:26.760000Z,2024-01-12T03:20:40.193000Z,2024-01-12T13:15:14.048000Z,2024-01-12T03:20:40.656600Z,134.0,C72EX8CS,1923,English,English,I only know English,none just my native langauge,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65a0af7f3e71fc9f72cdabf8,60375d67dde85cad87f3c99d,APPROVED,2024-01-12T03:20:18.500000Z,2024-01-12T03:24:27.843000Z,2024-01-12T13:15:14.228000Z,2024-01-12T03:24:28.481616Z,250.0,C72EX8CS,1805,English,English,I only know English,none just my native langauge,76,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65a0b251395b2717c94c3fb9,64a9858be9b52e570ffb3c1e,APPROVED,2024-01-12T03:30:29.673000Z,2024-01-12T03:32:52.442000Z,2024-01-12T13:15:14.413000Z,2024-01-12T03:32:52.861200Z,143.0,C72EX8CS,291,English,English,I only know English,none just my native langauge,66,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65a0b5d38acfe7a551557586,63ea4a7fa7d709c8e7887a93,APPROVED,2024-01-12T03:45:40.208000Z,2024-01-12T03:48:00.894000Z,2024-01-12T13:15:14.598000Z,2024-01-12T03:48:01.683710Z,141.0,C72EX8CS,850,English,English,I only know English,none just my native langauge,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
